paises,Año,valor
turquia,2021,0.0
uganda,2021,1100.217529
ucrania,2021,7320.0
emiratos arabes unidos,2021,20667.1204901
reino unido,2021,-71173.8290249152
estados unidos,2021,387780.0
uruguay,2021,2241.4844906
venezuela,2021,-996.0
vietnam,2021,15660.0
yemen,2021,0.0
zambia,2021,-351.646566
zimbabue,2021,250.0
afganistan,2022,0.0
albania,2022,1434.1255065163
argelia,2022,88.7685192
angola,2022,-6142.2488482
argentina,2022,15087.3983545
armenia,2022,998.0554254
aruba,2022,253.3748167039
australia,2022,61629.4781585723
austria,2022,1946.8179089829
azerbaiyan,2022,-4474.47
bahamas,2022,1254.8319129
bahrein,2022,1951.329787234
bangladesh,2022,3479.95
barbados,2022,200.0
belarus,2022,1603.42454
belgica,2022,-1710.1505437942
belice,2022,133.5564676
benin,2022,266.6031894723
islas bermudas,2022,-32.8933333
bolivia,2022,-26.3584197
bosnia y herzegoniva,2022,661.3662768659
botsuana,2022,216.0260456869
brasil,2022,86050.3589742
islas virgenes britanicas,2022,38118.5510885
brunei darussalam,2022,-292.4163595503
bulgaria,2022,2504.8770554451
burkina faso,2022,121.2954997553
burundi,2022,12.8836879339
cabo verde,2022,136.056543
camboya,2022,3578.8312959
camerun,2022,888.5446083
canada,2022,52633.1964457898
islas caiman,2022,24590.0198496
republica centroafricana,2022,24.0477221852
chad,2022,614.0185064633
chile,2022,19786.0049798
china,2022,189132.41
hong kong,2022,117725.0553763131
macao,2022,4000.0
taiwan,2022,10189.0
colombia,2022,17047.55184
congo,2022,532.2562510334
islas cook,2022,3.8924104
costa rica,2022,3045.0352224
cote divoire,2022,1583.694622218
croacia,2022,3674.5907959361
curazao,2022,140.679716648
chipre,2022,4913.2526082955
czechia,2022,9853.134066083
checoslovaquia,2022,0.0
republica democratica del congo,2022,1845.7733086
dinamarca,2022,4493.543948745
republica dominicana,2022,4010.4
ecuador,2022,788.0578035
egipto,2022,11399.9
el salvador,2022,-99.10179
guinea ecuatorial,2022,458.5099029987
estonia,2022,1205.1168588831
fiyi,2022,103.8881042897
finlandia,2022,9444.790780351
francia,2022,36413.3593927702
polinesia frances,2022,-9.4803026
gabon,2022,1104.5920390423
gambia,2022,236.0
georgia,2022,1999.99014
alemania,2022,11053.3958703655
ghana,2022,1472.6
grecia,2022,7603.6389823762
guatemala,2022,1352.40938
guinea,2022,139.4533333
guinea bissau,2022,21.9408848921
guayana,2022,4408.44348
haiti,2022,39.3032
honduras,2022,822.6
hungria,2022,8571.4661649745
islandia,2022,619.5968415175
india,2022,49354.6119469879
indonesia,2022,21968.17
iran,2022,1500.0
irak,2022,-2088.2
irlanda,2022,1490.0634356335
israel,2022,27760.138
italia,2022,19946.8421185648
jamaica,2022,359.5146667
japon,2022,32508.808407328
jordan,2022,1137.0422535211
kazakhstan,2022,6108.4128491
kenia,2022,759.4937022
kiribati,2022,1.0323961
rep de corea,2022,17996.0
kuwait,2022,757.7713697959
kirguistan,2022,290.9
lao,2022,528.2248497
letonia,2022,1507.9652578284
libano,2022,457.878416
liberia,2022,73.1066667
libia,2022,0.0
lituania,2022,2157.8751168884
luxemburgo,2022,-322053.7812860669
madagascar,2022,396.244477
malawi,2022,188.5640343
malasia,2022,16939.6011339045
mali,2022,252.9127313244
malta,2022,4239.6832851739
mauritania,2022,1147.5553133515
mauricio,2022,252.104279704
mejico,2022,35291.618356
mongolia,2022,2504.29
montenegro,2022,876.751692354
marruecos,2022,2141.3963266166
mozambique,2022,1975.2948418
namibia,2022,945.0867063593
paises bajos,2022,-67340.3343428557
antillas holandesas,2022,0.0
nueva caledonia,2022,696.3073455
nueva zelanda,2022,7538.7573921352
nicaragua,2022,1293.8
niger,2022,580.7370274791
nigeria,2022,-186.7924289
noruega,2022,-3435.5550512072
oman,2022,3715.6480278283
pakistan,2022,1339.0
panama,2022,2640.4232533
papua nueva guinea,2022,326.7148607955
paraguay,2022,473.5296986
peru,2022,11655.582069
filipinas,2022,9199.94291
polonia,2022,29461.8954191771
portugal,2022,9099.4033147856
katar,2022,76.0989011
republica de moldova,2022,587.3
rumania,2022,11272.9459238604
federacion rusa,2022,-18681.12
ruanda,2022,398.5993548
santo tome principe,2022,126.6038371
arabia saudita,2022,7886.3419579
senegal,2022,2586.1799342661
serbia,2022,5465.4202400108
serbia montenegro,2022,0.0
seychelles,2022,212.0543627
sierra leona,2022,250.0
singapur,2022,141210.9668252014
sint maarten,2022,13.4619484916
eslovaquia,2022,2905.4332335746
eslovenia,2022,1622.0260018702
islas salomon,2022,40.804077467
sudafrica,2022,9051.1940893575
españa,2022,34811.0725929421
sri lanka,2022,898.2952138
estado de palestina,2022,232.9411621
suriname,2022,7.2837788
suazilandia,2022,21.2040181618
suecia,2022,45963.0673591154
suiza,2022,13311.3012013619
tailandia,2022,10033.6581375
macedonia,2022,793.8037623312
timor oriental,2022,262.459429
tonga,2022,2.8674873
trinidad tobago,2022,-493.1265947
tunez,2022,713.3651243717
turquia,2022,0.0
uganda,2022,1526.1891065
ucrania,2022,848.0
emiratos arabes unidos,2022,22736.5554799
reino unido,2022,14093.3955543065
estados unidos,2022,285057.0
uruguay,2022,3838.7455694
venezuela,2022,941.3333333
vietnam,2022,17900.0
yemen,2022,0.0
zambia,2022,115.899184
zimbabue,2022,341.5
